Path	Record	Mode	Korean
Patch/Data-1.13/MercEdt/snitch/240.edt	3	fixed	$MERCNICK$이 네가 일을 좀 더 제대로 해야 한다고 했어.
Patch/Data-1.13/MercEdt/snitch/240.edt	4	fixed	$MERCNICK$이 그만둘 생각을 하고 있어.
Patch/Data-1.13/MercEdt/snitch/240.edt	5	fixed	$MERCNICK$이 $MERCNICK2$ 때문에 그만둘 생각이야.
Patch/Data-1.13/MercEdt/snitch/240.edt	6	fixed	내일까지도 일을 더 제대로 하지 않으면 $MERCNICK$은 내일 하루가 끝나기 전에 떠날 거야.
Patch/Data-1.13/MercEdt/snitch/240.edt	7	fixed	곧 임무에서 이기지 못하면 $MERCNICK$이 그만두겠대.
Patch/Data-1.13/MercEdt/snitch/240.edt	8	fixed	$MERCNICK$이 밀린 돈부터 내라고 했어.
Patch/Data-1.13/MercEdt/snitch/240.edt	9	fixed	팀 구성이 계속 바뀌어서 $MERCNICK$이 그만둘 생각이야.
Patch/Data-1.13/MercEdt/snitch/249.edt	2	fixed	$MERCNICK$이 사망자가 너무 많은 걸 걱정하고 있어.
Patch/Data-1.13/MercEdt/snitch/249.edt	3	fixed	$MERCNICK$이 나가고 싶대. 정신 좀 차리라고 하더군.
Patch/Data-1.13/MercEdt/snitch/249.edt	4	fixed	$MERCNICK$이 일하기 더 좋은 곳도 많다고 했어.
Patch/Data-1.13/MercEdt/snitch/249.edt	5	fixed	$MERCNICK$이 $MERCNICK2$ 때문에 걱정하고 있어.
Patch/Data-1.13/MercEdt/snitch/249.edt	6	fixed	$MERCNICK$이 나가고 싶대. 내일까지는 정신 좀 차리라고 했어.
Patch/Data-1.13/MercEdt/snitch/249.edt	7	fixed	$MERCNICK$이 정신 좀 차리라고 했어.
Patch/Data-1.13/MercEdt/snitch/249.edt	8	fixed	$MERCNICK$이 돈을 제대로 받을 수 있을지 정말 걱정하고 있어.
Patch/Data-1.13/MercEdt/snitch/249.edt	9	fixed	여기선 사람을 너무 자주 갈아치우니 $MERCNICK$이 일하기 더 좋은 곳도 많다고 했어.
Patch/Data/MercEdt/032.EDT	12	fixed	이봐, 봐.
Patch/Data/MercEdt/032.EDT	19	fixed	나 길을 잃었어, 이런.
Patch/Data/MercEdt/032.EDT	22	fixed	아야!
Patch/Data/MercEdt/032.EDT	29	fixed	다음, 다음!
Patch/Data/MercEdt/032.EDT	36	fixed	이제 끝났어.
Patch/Data/MercEdt/032.EDT	39	fixed	빌어먹을 벌레! 이제 저놈은 치워졌군.
Patch/Data/MercEdt/032.EDT	40	fixed	이런 멍청이.
Patch/Data/MercEdt/032.EDT	47	fixed	그건 내가 자초했어.
Patch/Data/MercEdt/032.EDT	58	fixed	이건... 시간 낭비야, 알겠어.
Patch/Data/MercEdt/032.EDT	67	fixed	이봐! 누가 먼저 왔던 모양이야. 상자가 반쯤 비었어.
Patch/Data/MercEdt/032.EDT	91	fixed	마음에 드네. 여기 남겠어.
Patch/Data/MercEdt/149.EDT	17	fixed	*두 번째 친구를 잃음*
Patch/Data/MercEdt/149.EDT	18	fixed	*세 번째 친구를 잃음*
Patch/Data/MercEdt/149.EDT	30	fixed	*싫어하는 용병과 대립*
Patch/Data/MercEdt/149.EDT	31	fixed	*싫어하는 용병과 대립*
Patch/Data/MercEdt/149.EDT	32	fixed	*싫어하는 용병과 대립*
Patch/Data/MercEdt/149.EDT	35	fixed	*성격 특성에 관한 언급*
Patch/Data/MercEdt/149.EDT	46	fixed	*싫어하는 국적*
Patch/Data/MercEdt/149.EDT	50	fixed	*싫어하는 용병이 고용됨*
Patch/Data/MercEdt/149.EDT	51	fixed	*싫어하는 용병이 고용됨*
Patch/Data/MercEdt/149.EDT	53	fixed	*두 번째 친한 용병이 승리함*
Patch/Data/MercEdt/149.EDT	54	fixed	*세 번째 친한 용병이 승리함*
Patch/Data-1.13/MercEdt/175.EDT	93	fixed	솔직히 말하지... 불안한 점이 있는데도 내가 승낙한 이유는 자네가 루도프 슈타이거를 고용했기 때문이야. 그는 진정한 전문가다. 그가 함께라면 내 걱정은 아무것도 아니지.
Patch/Data-1.13/MercEdt/181.EDT	78	fixed	<꼴깍>
Patch/Data-1.13/MercEdt/187.EDT	93	fixed	월리도 한몫하지, 친구.
Patch/Data-1.13/MercEdt/187.EDT	101	fixed	월리도 한몫하지, 친구.
Patch/Data-1.13/BinaryData/MERCBIOS.EDT	40	mercbios_bio	오하이오주 클리블랜드의 특공대원, 존 쿨바. 오대호 출신의 졸병이다. 한때 예비군 저격수이자 자경단 지휘관이었던 그는 아내 메리의 뒤를 이어 오랜 꿈이던 용병의 삶을 살기로 결심했다.
