Path	Record	Mode	Korean
Patch/Data-1.13/MercEdt/251.EDT	56	fixed	어이, 우리 여기서 정말 겁먹고 있다니까.
Patch/Data-1.13/MercEdt/251.EDT	57	fixed	널 완전히 새롭게 보게 되네.
Patch/Data-1.13/MercEdt/251.EDT	58	fixed	나도 해보긴 했지. 하지만 내 전문은 폭발물이야.
Patch/Data-1.13/MercEdt/251.EDT	59	fixed	머리 손질한 거 마음에 드는데.
Patch/Data-1.13/MercEdt/251.EDT	60	fixed	조용히 있을 거야. 그래야 아무도 내가 여기 있는지 모르지.
Patch/Data-1.13/MercEdt/251.EDT	61	fixed	대체 어디 숨어 있는 거야?
Patch/Data-1.13/MercEdt/251.EDT	62	fixed	그걸 다시 되찾아야 한다고?
Patch/Data-1.13/MercEdt/251.EDT	64	fixed	저 친구가 여기서 뭐 하는 건지 궁금하네.
Patch/Data-1.13/MercEdt/251.EDT	65	fixed	임무만 놓고 보면, 우리 운이 좋았어.
Patch/Data-1.13/MercEdt/251.EDT	66	fixed	헤헤, 한 무리 싹 쓸어버렸네!
Patch/Data-1.13/MercEdt/251.EDT	67	fixed	안 좋은 소식이야.
Patch/Data-1.13/MercEdt/251.EDT	68	fixed	할 일은 다 했어.
Patch/Data-1.13/MercEdt/251.EDT	69	fixed	한 놈 잡았어.
Patch/Data-1.13/MercEdt/251.EDT	70	fixed	이제 남은 건... 파티뿐이야!
Patch/Data-1.13/MercEdt/251.EDT	71	fixed	거의 해냈어.
Patch/Data-1.13/MercEdt/251.EDT	74	fixed	안부 물어주니 고맙네.
Patch/Data-1.13/MercEdt/251.EDT	75	fixed	이 물건도 한창때가 있었겠지.
Patch/Data-1.13/MercEdt/251.EDT	76	fixed	저 자식들이 이걸 부비트랩으로 만들어 놨어.
Patch/Data-1.13/MercEdt/251.EDT	77	fixed	이런 푸석한 땅에선 느려져. 소름 돋네.
Patch/Data-1.13/MercEdt/251.EDT	78	fixed	나... 도움이 필요해... 더는 오래 못 헤엄쳐!
Patch/Data-1.13/MercEdt/251.EDT	79	fixed	늦어서 미안. 이제 준비됐어.
Patch/Data-1.13/MercEdt/251.EDT	81	fixed	지난 몇 번의 임무를 들먹이려는 건 아닌데, 누군들 안 그러겠어?
Patch/Data-1.13/MercEdt/251.EDT	82	fixed	네 부하들 몸엔 연필보다 납이 더 많이 박혀 있겠네.
Patch/Data-1.13/MercEdt/251.EDT	83	fixed	됐어. 지난번에 너랑 계약했더니 날 잘랐잖아.
Patch/Data-1.13/MercEdt/251.EDT	84	fixed	방금 사랑니를 뽑았어.
Patch/Data-1.13/MercEdt/251.EDT	85	fixed	안 좋은 소식이네. 폭발물 전문가를 찾는 데가 많거든.
Patch/Data-1.13/MercEdt/251.EDT	86	fixed	팀원이 계속 바뀌는 곳에서 일하느니 차라리 다시 복지수당 받으러 가겠어.
Patch/Data-1.13/MercEdt/251.EDT	90	fixed	어떻게 됐는지 알려줘.
Patch/Data-1.13/MercEdt/251.EDT	91	fixed	좋아. 일단은 더 있어 보자.
Patch/Data-1.13/MercEdt/251.EDT	92	fixed	빨리 가고 싶어 죽겠네.
Patch/Data-1.13/MercEdt/251.EDT	96	fixed	난 떠날게. 이 패배자 같은 꼴을 털어내면 다시 올지도 모르지.
Patch/Data-1.13/MercEdt/251.EDT	97	fixed	말했잖아, 멍청아...
Patch/Data-1.13/MercEdt/251.EDT	98	fixed	돈부터 봐야겠어.
Patch/Data-1.13/MercEdt/251.EDT	99	fixed	잘 있어, 멍청아. 이 정도 돈이면 끝내주는 '외로운 남자의 주말'을 보낼 수 있겠군, 헤헤.
Patch/Data-1.13/MercEdt/251.EDT	100	fixed	죽음의 사자 양반, 난 이만 빠질게.
Patch/Data-1.13/MercEdt/251.EDT	107	fixed	말했잖아, 멍청아...
Patch/Data-1.13/MercEdt/251.EDT	108	fixed	돈부터 봐야겠어.
Patch/Data-1.13/MercEdt/251.EDT	109	fixed	듣고 있어.
Patch/Data-1.13/MercEdt/251.EDT	110	fixed	다들 날 좋아해. 작은 폭발을 이용한 묘기 몇 가지로 사람들을 즐겁게 해주거든.
Patch/Data-1.13/MercEdt/251.EDT	111	fixed	조건이 뭔데?
Patch/Data-1.13/MercEdt/251.EDT	112	fixed	너랑 일하면 재미있겠네.
Patch/Data-1.13/MercEdt/251.EDT	113	fixed	나중에 다시 연락할게.
Patch/Data-1.13/MercEdt/251.EDT	116	fixed	돈을 더 써야 할 거야.
Patch/Data-1.13/MercEdt/251.EDT	117	fixed	너한텐 나쁜 소식, 나한텐 좋은 소식이야. 내가 합류하길 원하면 돈을 더 줘야 해.
