Layer	Family	Path	Record	Offset	DecodedText
Data	MercEdt	Patch/Data/MercEdt/017.edt	2	0x000001E0	Ah, we have been joined.
Data	MercEdt	Patch/Data/MercEdt/017.edt	3	0x000003C0	I need backup here!
Data	MercEdt	Patch/Data/MercEdt/017.edt	4	0x000005A0	One of those hideous insects.
Data	MercEdt	Patch/Data/MercEdt/017.edt	5	0x00000780	Tell me that's not real. Tell me I'll wake up, and it will be gone.
Data	MercEdt	Patch/Data/MercEdt/017.edt	6	0x00000960	Traces of that monster insect.
Data	MercEdt	Patch/Data/MercEdt/017.edt	7	0x00000B40	I definitely heard something.
Data	MercEdt	Patch/Data/MercEdt/017.edt	8	0x00000D20	The odor here, it's most distasteful.
Data	MercEdt	Patch/Data/MercEdt/017.edt	9	0x00000F00	My intuition says we're looking at conflict.
Data	MercEdt	Patch/Data/MercEdt/017.edt	10	0x000010E0	I don't know how I know but I believe there are insectoids here.
Data	MercEdt	Patch/Data/MercEdt/017.edt	11	0x000012C0	If these insectoids don't kill me first, they're going to make me insane!
Data	MercEdt	Patch/Data/MercEdt/017.edt	12	0x000014A0	Somebody left something behind.
Data	MercEdt	Patch/Data/MercEdt/017.edt	13	0x00001680	Is that valuable?
Data	MercEdt	Patch/Data/MercEdt/017.edt	14	0x00001860	I have to reload my firearm.
Data	MercEdt	Patch/Data/MercEdt/017.edt	15	0x00001A40	I have serious open wounds!
Data	MercEdt	Patch/Data/MercEdt/017.edt	18	0x00001FE0	You can't die, Sidney. We're two of a kind. We have so much in common, and...I wanted us to die together. Oh, Sidney...
Data	MercEdt	Patch/Data/MercEdt/017.edt	19	0x000021C0	I could swear that I've...wait, no, what's going on?
Data	MercEdt	Patch/Data/MercEdt/017.edt	20	0x000023A0	Cursed... gun... won't... fire.
Data	MercEdt	Patch/Data/MercEdt/017.edt	21	0x00002580	Drawing heavy fire here!
Data	MercEdt	Patch/Data/MercEdt/017.edt	22	0x00002760	If I were a man, I'd probably be crying like a baby.
Data	MercEdt	Patch/Data/MercEdt/017.edt	23	0x00002940	My, that was close enough to be invigorating.
Data	MercEdt	Patch/Data/MercEdt/017.edt	24	0x00002B20	I don't think I can make that shot from this angle.
Data	MercEdt	Patch/Data/MercEdt/017.edt	25	0x00002D00	This bleeding's not going to stop on its own.
Data	MercEdt	Patch/Data/MercEdt/017.edt	26	0x00002EE0	I'm exhausted. Time to catch a nap.
Data	MercEdt	Patch/Data/MercEdt/017.edt	27	0x000030C0	My chest hurts.
Data	MercEdt	Patch/Data/MercEdt/017.edt	28	0x000032A0	Go to sleep, creep!
Data	MercEdt	Patch/Data/MercEdt/017.edt	29	0x00003480	She squashes it! God, that felt good!
Data	MercEdt	Patch/Data/MercEdt/017.edt	30	0x00003660	I'm sick of Guzzman's attitude. Showing off her body like that, she's only setting women back about 50 years.
Data	MercEdt	Patch/Data/MercEdt/017.edt	31	0x00003840	That Reaper is one perverted son-of-a-bitch. His mother probably breast-fed him too long.
Data	MercEdt	Patch/Data/MercEdt/017.edt	32	0x00003A20	What IS it about Gumpy? How can somebody so smart be such a disgusting slob? Maybe his parents were first cousins.
Data	MercEdt	Patch/Data/MercEdt/017.edt	33	0x00003C00	I killed Mike! Kinda makes me feel important.
Data	MercEdt	Patch/Data/MercEdt/017.edt	34	0x00003DE0	Hahahaha... I'm sorry. It's not really funny.
