RowID	Path	Record	RecordBytes	English	Korean	Status	Note
1	Data/NPCData/057.EDT	1	480	It be good to make your acquaintance.	만나게 되어 반갑소.	번역완료	critical prefill
2	Data/NPCData/057.EDT	2	480	You are well?	잘 지내고 있소?	번역완료	critical prefill
3	Data/NPCData/057.EDT	3	480	I have faith in us. Victory will come.	우리를 믿소. 승리는 반드시 올 것이오.	번역완료	critical prefill
4	Data/NPCData/057.EDT	4	480	It be a shame you did not see Arulco in its glory.	아룰코가 영광스럽던 시절을 보지 못했다니 안타깝소.	번역완료	critical prefill
5	Data/NPCData/057.EDT	5	480	I have no need for that.	내게는 필요 없소.	번역완료	critical prefill
6	Data/NPCData/057.EDT	6	480	We must keep confidence.	희망을 잃어선 안 되오.	번역완료	critical prefill
7	Data/NPCData/057.EDT	7	480	You threaten the wrong man. You do not wish to challenge me.	협박할 사람을 잘못 골랐소. 나와 맞서고 싶지는 않을 거요.	번역완료	critical prefill
8	Data/NPCData/057.EDT	8	480	It does not seem right at this moment.	지금은 때가 아닌 듯하오.	번역완료	critical prefill
9	Data/NPCData/057.EDT	9	480	I... require... emergency.. treatment.	나... 응급 치료가... 필요하오.	번역완료	critical prefill
10	Data/NPCData/057.EDT	10	480	We have nothing to talk about.	우린 할 말이 없소.	번역완료	critical prefill
11	Data/NPCData/057.EDT	11	480	I do not... Let me see this letter.	나는... 아니, 그 편지를 보여주시오.	번역완료	critical prefill
12	Data/NPCData/057.EDT	12	480	Hmm... It be true. Enrico has sent men to help us.	흠... 사실이군. 엔리코가 우리를 돕기 위해 사람들을 보냈소.	번역완료	critical prefill
13	Data/NPCData/057.EDT	13	480	On behalf of my rebel force and the people of Arulco, I welcome you. We are very much in need of your aid. Deidranna wishes to remove Omerta from the map of this country.	내 반군과 아룰코 국민을 대표해 환영하오. 당신들의 도움이 절실하오. 데이드라나는 이 나라 지도에서 오메르타를 지워버리려 하고 있소.	번역완료	critical prefill
14	Data/NPCData/057.EDT	14	480	Yes. It is time to unite as one force. Together we will witness victory.	그렇소. 이제 하나의 힘으로 뭉칠 때요. 함께 승리를 보게 될 것이오.	번역완료	critical prefill
15	Data/NPCData/057.EDT	15	480	That will do, Ira. I am sure our friends have heard of her nature. If not, they will know soon enough.	그 정도면 됐네, 아이라. 우리 친구들도 그녀의 본성을 이미 들었을 거야. 아니라 해도 곧 알게 되겠지.	번역완료	critical prefill
16	Data/NPCData/057.EDT	16	480	Die, bastards!	죽어라, 개자식들아!	번역완료	critical prefill
17	Data/NPCData/057.EDT	17	480	I have lost over thirty men in the last month. My force is down to the people you see here. But, I do have a few trusted people living in the Arulco countryside.	지난 한 달 동안 30명이 넘는 동지를 잃었소. 이제 내 병력은 여기 보이는 사람들이 전부요. 하지만 아룰코 시골 곳곳에 믿을 만한 사람들이 몇 명 있소.	번역완료	critical prefill
18	Data/NPCData/057.EDT	18	480	The people of Arulco would overthrow Deidranna with pleasure, but they live in fear of her. And rightfully so... She be heartless and brutal. She has robbed our country of its money and its soul.	아룰코 사람들은 기꺼이 데이드라나를 몰아낼 것이오. 하지만 그녀를 두려워하고 있소. 그럴 만도 하지... 그녀는 무자비하고 잔혹하오. 이 나라의 돈도, 영혼도 모두 빼앗아 갔소.	번역완료	critical prefill
19	Data/NPCData/057.EDT	19	480	Getting their confidence be our biggest problem. The people must feel we are capable of defeating her. Yet, without their support we cannot.	그들의 신뢰를 얻는 게 가장 큰 문제요. 우리가 그녀를 쓰러뜨릴 수 있다고 믿게 해야 하오. 하지만 그들의 지지가 없으면 우리도 해낼 수 없소.	번역완료	critical prefill
20	Data/NPCData/057.EDT	20	480	We are missing soldiers and equipment. You could not have come at a better time.	병사도 장비도 부족하오. 정말 가장 필요한 때에 와주었소.	번역완료	critical prefill
21	Data/NPCData/057.EDT	21	480	Yes... Carlos be my close advisor. He is right. He usually be right. Making a safe route to Drassen to get supplies be a priority.	그렇소... 카를로스는 내 가까운 참모요. 그의 말이 맞소. 대개는 늘 맞지. 보급품을 얻으려면 드라센까지 안전한 길을 확보하는 게 우선이오.	번역완료	critical prefill
22	Data/NPCData/057.EDT	22	480	If you can remove Deidranna's forces from your path, there is a priest in Drassen named Father Walker. He be a drunk of poor judgement, however he will be sympathetic to our situation.	길목의 데이드라나 병력을 치울 수 있다면, 드라센에 워커 신부라는 사제가 있소. 술꾼에 판단력도 썩 좋진 않지만, 우리 사정에는 동정적일 거요.	번역완료	critical prefill
23	Data/NPCData/057.EDT	23	480	Find him and tell him no more than you need to. I will send others to fetch the supplies he will gather. I wish you luck, and express my gratitude.	그를 찾아가 필요한 말만 하시오. 그가 모아 둔 보급품은 내가 다른 사람들을 보내 가져오겠소. 행운을 빌며, 다시 한번 감사하오.	번역완료	critical prefill
24	Data/NPCData/057.EDT	24	480	I can spare Ira. She is quick learner and knows the priest well. I believe he might even have some passion for her.	아이라를 내어줄 수 있소. 배우는 게 빠르고 그 신부도 잘 알지. 그 신부가 아이라에게 마음이 좀 있는 것 같기도 하오.	번역완료	critical prefill
25	Data/NPCData/057.EDT	25	480	A donation! I will make certain it goes to good use.	기부금이군! 반드시 좋은 곳에 쓰이게 하겠소.	번역완료	critical prefill
26	Data/NPCData/057.EDT	26	480	Good. The people of Omerta have you to thank for their food and supplies. It is through your hardwork and the generosity of Father Walker that we enjoy the basics of life, once again.	좋소. 오메르타 사람들이 다시 먹을 것과 보급품을 갖게 된 건 당신들 덕분이오. 당신들의 수고와 워커 신부의 후의 덕분에 다시 기본적인 삶을 누리게 됐소.	번역완료	critical prefill
27	Data/NPCData/057.EDT	27	480	Perhaps, now I am in a position to offer the services of Dimitri. He is a good man.	이제는 디미트리도 보낼 수 있을 것 같소. 좋은 사람이오.	번역완료	critical prefill
28	Data/NPCData/057.EDT	28	480	Yes, as the countryside becomes safe we too shall join, Carlos. We must be one force united. It be the path to victory... Dimitri will serve you well. His skill throwing a knife will save you many an unwanted battle.	그렇소, 시골이 안전해지면 우리도 합류할 걸세, 카를로스. 하나의 힘으로 뭉쳐야 하오. 그것이 승리의 길이오... 디미트리는 훌륭히 해낼 거요. 칼 던지는 솜씨 덕분에 불필요한 싸움을 많이 피할 수 있을 거요.	번역완료	critical prefill
29	Data/NPCData/057.EDT	29	480	We must have patience, Carlos. Our guests, I am sure, are doing what they can.	인내해야 하네, 카를로스. 우리 손님들도 할 수 있는 일을 하고 있을 거야.	번역완료	critical prefill
30	Data/NPCData/057.EDT	30	480	You have expanded the base of operations. Two villages are now liberated. This be a most encouraging sign.	작전 기반을 넓혔군. 이제 두 마을이 해방됐소. 아주 고무적인 징조요.	번역완료	critical prefill
31	Data/NPCData/057.EDT	31	480	I must express my appreciation, four towns are now under our control. I sense Deidranna does not sleep peacefully.	감사를 표해야겠군. 이제 네 도시가 우리 통제 아래 있소. 데이드라나가 편히 잠들지는 못할 것 같소.	번역완료	critical prefill
32	Data/NPCData/057.EDT	32	480	With 5 villages liberated, I feel confident that the people of the countryside are free from her tyranny. Carlos and I are available to join with your group now.	다섯 마을이 해방됐으니 시골 사람들이 그녀의 폭정에서 벗어났다고 확신하오. 이제 카를로스와 나도 당신들 일행에 합류할 수 있소.	번역완료	critical prefill
33	Data/NPCData/058.EDT	1	480	What can I do for you?	무엇을 도와드릴까?	번역완료	critical prefill
34	Data/NPCData/058.EDT	2	480	It is hopeful, yes?	희망적이지 않소?	번역완료	critical prefill
35	Data/NPCData/058.EDT	3	480	We are grateful for your presence.	당신들이 와줘서 고맙소.	번역완료	critical prefill
36	Data/NPCData/058.EDT	4	480	I hope we'll be all right.	무사히 잘되길 바라오.	번역완료	critical prefill
37	Data/NPCData/058.EDT	5	480	No, I do not want this.	아니, 이건 필요 없소.	번역완료	critical prefill
38	Data/NPCData/058.EDT	6	480	There is no one more evil than Deidranna.	데이드라나보다 사악한 자는 없소.	번역완료	critical prefill
39	Data/NPCData/058.EDT	7	480	There is no need for anger. We fight for the same cause.	화를 낼 필요는 없소. 우린 같은 목적을 위해 싸우고 있소.	번역완료	critical prefill
40	Data/NPCData/058.EDT	8	480	The time is not right. I am needed in Omerta.	지금은 때가 아니오. 오메르타에 내가 필요하오.	번역완료	critical prefill
41	Data/NPCData/058.EDT	9	480	Wounded. I will die for sure.	부상을 입었소. 이러다 죽겠군.	번역완료	critical prefill
42	Data/NPCData/058.EDT	10	480	I have to go now.	이제 가봐야겠소.	번역완료	critical prefill
43	Data/NPCData/058.EDT	11	480	Do not move and no one will die.	움직이지 마시오. 그러면 아무도 죽지 않을 거요.	번역완료	critical prefill
44	Data/NPCData/058.EDT	12	480	Enrico? Chivaldori? Most suspicious. I question his reasons.	엔리코? 치발도리? 몹시 수상하군. 그의 의도가 의심스럽소.	번역완료	critical prefill
45	Data/NPCData/058.EDT	13	480	I am impressed with your leadership. I will join because it is best for Arulco.	당신의 지도력에 감명받았소. 아룰코를 위해 합류하겠소.	번역완료	critical prefill
46	Data/NPCData/058.EDT	14	480	An act of aggression against one of us is an act of aggression against all of us. Your fate is decided!	우리 중 한 사람을 공격한 것은 우리 모두를 공격한 것과 같소. 네 운명은 결정됐다!	번역완료	critical prefill
47	Data/NPCData/058.EDT	15	480	We are short of food, too, Miguel. We need safe passage to Drassen or more people will die.	우리도 식량이 부족하네, 미겔. 드라센으로 가는 안전한 길이 필요해. 안 그러면 더 많은 사람이 죽을 거야.	번역완료	critical prefill
48	Data/NPCData/058.EDT	16	480	It will aid our efforts. Thank you.	우리 노력에 도움이 되겠소. 고맙소.	번역완료	critical prefill
49	Data/NPCData/058.EDT	17	480	Are you sure this is wise, Miguel?	정말 현명한 결정인가, 미겔?	번역완료	critical prefill
50	Data/NPCData/058.EDT	18	480	This situation has grown desperate. Omerta remains without supplies for its people. When will this change?	상황이 절박해졌네. 오메르타 사람들은 아직도 보급품이 없어. 언제까지 이래야 하나?	번역완료	critical prefill
51	Data/NPCData/058.EDT	19	480	Our people are suffering in hunger. You must do something. It cannot continue without the loss of more life.	사람들이 굶주리고 있네. 뭔가 해야 해. 이대로면 더 많은 사람이 죽을 거야.	번역완료	critical prefill
52	Data/NPCData/058.EDT	20	480	You have made progress, but we must exercise caution. We have not heard the last from Deidranna.	진전은 있었지만 조심해야 하오. 데이드라나가 이대로 끝낼 리 없소.	번역완료	critical prefill
53	Data/NPCData/058.EDT	21	480	I see hope in the eyes of the people, a hope I have not seen in a long time. But I shall deny myself this feeling until victory is within our hands.	사람들의 눈에서 오랫동안 보지 못했던 희망이 보이오. 하지만 승리를 손에 넣기 전까지는 나 자신도 그 감정에 빠지지 않겠소.	번역완료	critical prefill
54	Data/NPCData/058.EDT	22	480	Almost half the country is ours, but we still have much work to do.	나라의 거의 절반이 우리 것이 됐지만, 아직 할 일이 많소.	번역완료	critical prefill
55	Data/NPCData/059.EDT	1	480	I'm Ira. I came to Arulco five years ago as part of an effort to supply humanitarian aid. I soon realized the only aid they needed was in getting rid of Deidranna. By whichever means possible.	난 아이라야. 5년 전 인도주의 구호물자를 지원하러 아룰코에 왔어. 그런데 곧 깨달았지. 이들에게 정말 필요한 도움은 어떤 수단을 써서든 데이드라나를 없애는 거라는 걸.	번역완료	critical prefill
56	Data/NPCData/059.EDT	2	480	How's it going?	어떻게 돼 가?	번역완료	critical prefill
57	Data/NPCData/059.EDT	3	480	The people's suffering is beyond comprehension.	사람들이 겪는 고통은 상상도 못 할 정도야.	번역완료	critical prefill
